,X.,event,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,number.of.graphs,time,Company.ID,Graphs.owned,weekday,X_city,Connector.Backend,Template,Data.Sources.Owned,Data.Format,Account.Type,dashboard.Template.Name,KPI.Count,Client,source,Graph.Origin,Guide.Name,Guide.Type,,,
97,97,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:10,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
98,98,Guide Start,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
99,99,Switch,,69,NA,,NA,0,8/1/2018 0:10,bb44ea9a534e3f0e0b6a723cf87eba42,NA,Wednesday,Canton,,,0,,Direct,,NA,Phone App,0,,,,,,
100,100,Data Source Created,,1,NA,,NA,15,8/1/2018 0:10,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,,,,4,csv,Direct,,NA,,4,,,,,,
101,101,Guide Exit,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
102,102,Guide Start,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
103,103,Add Blank Tab,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,,,,,
104,104,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:10,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
105,105,Add Button,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,,,,,
106,106,Guide Exit,,1,NA,,NA,8,8/1/2018 0:10,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
